dt_sintoma,co_municipio,municipio,ocorrencias
1950-01-01,1100205,Porto Velho,0
1950-01-08,1100205,Porto Velho,0
1950-01-15,1100205,Porto Velho,0
1950-01-22,1100205,Porto Velho,0
1950-01-29,1100205,Porto Velho,0
1950-02-05,1100205,Porto Velho,0
1950-02-12,1100205,Porto Velho,0
1950-02-19,1100205,Porto Velho,0
1950-02-26,1100205,Porto Velho,0
1950-03-05,1100205,Porto Velho,0
1950-03-12,1100205,Porto Velho,0
1950-03-19,1100205,Porto Velho,0
1950-03-26,1100205,Porto Velho,0
1950-04-02,1100205,Porto Velho,0
1950-04-09,1100205,Porto Velho,0
1950-04-16,1100205,Porto Velho,0
1950-04-23,1100205,Porto Velho,0
1950-04-30,1100205,Porto Velho,0
1950-05-07,1100205,Porto Velho,0
1950-05-14,1100205,Porto Velho,0
1950-05-21,1100205,Porto Velho,0
1950-05-28,1100205,Porto Velho,0
1950-06-04,1100205,Porto Velho,0
1950-06-11,1100205,Porto Velho,0
1950-06-18,1100205,Porto Velho,0
1950-06-25,1100205,Porto Velho,0
1950-07-02,1100205,Porto Velho,0
1950-07-09,1100205,Porto Velho,0
1950-07-16,1100205,Porto Velho,0
1950-07-23,1100205,Porto Velho,0
1950-07-30,1100205,Porto Velho,0
1950-08-06,1100205,Porto Velho,0
1950-08-13,1100205,Porto Velho,0
1950-08-20,1100205,Porto Velho,0
1950-08-27,1100205,Porto Velho,0
1950-09-03,1100205,Porto Velho,0
1950-09-10,1100205,Porto Velho,0
1950-09-17,1100205,Porto Velho,0
1950-09-24,1100205,Porto Velho,0
1950-10-01,1100205,Porto Velho,0
1950-10-08,1100205,Porto Velho,0
1950-10-15,1100205,Porto Velho,0
1950-10-22,1100205,Porto Velho,0
1950-10-29,1100205,Porto Velho,0
1950-11-05,1100205,Porto Velho,0
1950-11-12,1100205,Porto Velho,0
1950-11-19,1100205,Porto Velho,0
1950-11-26,1100205,Porto Velho,0
1950-12-03,1100205,Porto Velho,0
1950-12-10,1100205,Porto Velho,0
1950-12-17,1100205,Porto Velho,0
1950-12-24,1100205,Porto Velho,0
1950-12-31,1100205,Porto Velho,0
1951-01-07,1100205,Porto Velho,0
1951-01-14,1100205,Porto Velho,0
1951-01-21,1100205,Porto Velho,0
1951-01-28,1100205,Porto Velho,0
1951-02-04,1100205,Porto Velho,0
1951-02-11,1100205,Porto Velho,0
1951-02-18,1100205,Porto Velho,0
1951-02-25,1100205,Porto Velho,0
1951-03-04,1100205,Porto Velho,0
1951-03-11,1100205,Porto Velho,0
1951-03-18,1100205,Porto Velho,0
1951-03-25,1100205,Porto Velho,0
1951-04-01,1100205,Porto Velho,0
1951-04-08,1100205,Porto Velho,0
1951-04-15,1100205,Porto Velho,0
1951-04-22,1100205,Porto Velho,0
1951-04-29,1100205,Porto Velho,0
1951-05-06,1100205,Porto Velho,0
1951-05-13,1100205,Porto Velho,0
1951-05-20,1100205,Porto Velho,0
1951-05-27,1100205,Porto Velho,0
1951-06-03,1100205,Porto Velho,0
1951-06-10,1100205,Porto Velho,0
1951-06-17,1100205,Porto Velho,0
1951-06-24,1100205,Porto Velho,0
1951-07-01,1100205,Porto Velho,0
1951-07-08,1100205,Porto Velho,0
1951-07-15,1100205,Porto Velho,0
1951-07-22,1100205,Porto Velho,0
1951-07-29,1100205,Porto Velho,0
1951-08-05,1100205,Porto Velho,0
1951-08-12,1100205,Porto Velho,0
1951-08-19,1100205,Porto Velho,0
1951-08-26,1100205,Porto Velho,0
1951-09-02,1100205,Porto Velho,0
1951-09-09,1100205,Porto Velho,0
1951-09-16,1100205,Porto Velho,0
1951-09-23,1100205,Porto Velho,0
1951-09-30,1100205,Porto Velho,0
1951-10-07,1100205,Porto Velho,0
1951-10-14,1100205,Porto Velho,0
1951-10-21,1100205,Porto Velho,0
1951-10-28,1100205,Porto Velho,0
1951-11-04,1100205,Porto Velho,0
1951-11-11,1100205,Porto Velho,0
1951-11-18,1100205,Porto Velho,0
1951-11-25,1100205,Porto Velho,0
1951-12-02,1100205,Porto Velho,0
1951-12-09,1100205,Porto Velho,0
1951-12-16,1100205,Porto Velho,0
1951-12-23,1100205,Porto Velho,0
1951-12-30,1100205,Porto Velho,0
1952-01-06,1100205,Porto Velho,0
1952-01-13,1100205,Porto Velho,0
1952-01-20,1100205,Porto Velho,0
1952-01-27,1100205,Porto Velho,0
1952-02-03,1100205,Porto Velho,0
1952-02-10,1100205,Porto Velho,0
1952-02-17,1100205,Porto Velho,0
1952-02-24,1100205,Porto Velho,0
